timestamp,entry_date,entry_meal,user_id,food_id
2017-06-07T00:00:20.454Z,2017-06-07,Snack,856,46592
2017-06-07T00:00:32.115Z,2017-06-07,Dinner,658,604
2017-06-07T00:00:40.451Z,2017-06-07,Dinner,737,17609
2017-06-07T00:00:48.636Z,2017-06-07,Snack,174,33090
2017-06-07T00:00:58.733Z,2017-06-07,Lunch,226,13048
2017-06-07T00:01:04.017Z,2017-06-07,Lunch,302,23076
2017-06-07T00:01:28.621Z,2017-06-07,Breakfast,112,1977
2017-06-07T00:01:29.296Z,2017-06-07,Lunch,419,33938
2017-06-07T00:01:33.975Z,2017-06-07,Breakfast,756,49895
2017-06-07T00:02:24.716Z,2017-06-07,Snack,31,13281
2017-06-07T00:02:35.943Z,2017-06-07,Lunch,146,37423
2017-06-07T00:02:43.691Z,2017-06-07,Dinner,272,33676
2017-06-07T00:02:52.634Z,2017-06-07,Breakfast,176,16917
2017-06-07T00:03:02.364Z,2017-06-07,Snack,791,8988
2017-06-07T00:03:10.906Z,2017-06-06,Snack,767,5997
2017-06-07T00:03:39.507Z,2017-06-07,Snack,944,7370
2017-06-07T00:03:53.524Z,2017-06-07,Breakfast,550,37627
2017-06-07T00:05:28.316Z,2017-06-06,Lunch,109,34068
2017-06-07T00:05:33.844Z,2017-06-07,Lunch,514,9400
2017-06-07T00:05:41.149Z,2017-06-07,Breakfast,892,35060
2017-06-07T00:05:54.144Z,2017-06-07,Dinner,680,46646
2017-06-07T00:06:51.488Z,2017-06-07,Dinner,374,45499
2017-06-07T00:07:18.818Z,2017-06-07,Breakfast,151,26970
2017-06-07T00:08:13.366Z,2017-06-07,Dinner,194,48346
2017-06-07T00:08:26.164Z,2017-06-07,Snack,784,2804
2017-06-07T00:08:31.365Z,2017-06-07,Breakfast,486,28791
2017-06-07T00:08:52.321Z,2017-06-07,Lunch,618,17723
2017-06-07T00:09:19.914Z,2017-06-06,Lunch,592,13970
2017-06-07T00:09:22.654Z,2017-06-07,Snack,476,47941
2017-06-07T00:09:36.344Z,2017-06-06,Dinner,780,40447
2017-06-07T00:09:44.805Z,2017-06-07,Dinner,669,7230
2017-06-07T00:09:48.042Z,2017-06-07,Dinner,324,41100
2017-06-07T00:10:16.298Z,2017-06-07,Lunch,231,35278
2017-06-07T00:10:53.352Z,2017-06-07,Dinner,49,32417
2017-06-07T00:11:00.865Z,2017-06-07,Lunch,562,14335
2017-06-07T00:12:09.857Z,2017-06-06,Snack,824,47046
2017-06-07T00:12:17.399Z,2017-06-08,Snack,166,16214
2017-06-07T00:13:21.125Z,2017-06-06,Snack,238,45565
2017-06-07T00:13:54.160Z,2017-06-08,Dinner,400,45951
2017-06-07T00:14:12.025Z,2017-06-07,Dinner,596,2995
2017-06-07T00:14:26.544Z,2017-06-06,Snack,313,6899
2017-06-07T00:15:00.474Z,2017-06-07,Lunch,787,3019
2017-06-07T00:15:05.688Z,2017-06-07,Dinner,646,36594
2017-06-07T00:15:44.097Z,2017-06-07,Lunch,442,13349
2017-06-07T00:16:19.585Z,2017-06-08,Lunch,871,38215
2017-06-07T00:16:24.310Z,2017-06-07,Lunch,648,14392
2017-06-07T00:16:51.702Z,2017-06-07,Dinner,184,30880
2017-06-07T00:18:39.816Z,2017-06-07,Dinner,822,40293
2017-06-07T00:18:58.048Z,2017-06-08,Dinner,548,39998
2017-06-07T00:19:12.579Z,2017-06-07,Dinner,870,11442
2017-06-07T00:19:14.978Z,2017-06-07,Dinner,954,48542
2017-06-07T00:19:25.597Z,2017-06-07,Lunch,727,18575
2017-06-07T00:20:22.607Z,2017-06-06,Lunch,389,19660
2017-06-07T00:20:38.146Z,2017-06-07,Snack,589,41313
2017-06-07T00:20:49.839Z,2017-06-07,Dinner,37,44224
2017-06-07T00:20:58.579Z,2017-06-07,Breakfast,990,32424
2017-06-07T00:21:22.732Z,2017-06-06,Dinner,719,37288
2017-06-07T00:21:27.830Z,2017-06-07,Snack,580,10144
2017-06-07T00:21:34.835Z,2017-06-07,Dinner,511,32213
2017-06-07T00:22:11.983Z,2017-06-06,Breakfast,17,20512
2017-06-07T00:23:05.333Z,2017-06-08,Lunch,928,8655
2017-06-07T00:23:09.520Z,2017-06-07,Dinner,311,46410
2017-06-07T00:23:11.982Z,2017-06-07,Snack,574,40007
2017-06-07T00:23:50.704Z,2017-06-07,Breakfast,433,1133
2017-06-07T00:24:14.409Z,2017-06-07,Snack,728,22484
2017-06-07T00:24:15.476Z,2017-06-07,Breakfast,4,19796
2017-06-07T00:25:52.242Z,2017-06-07,Breakfast,825,6329
2017-06-07T00:26:13.432Z,2017-06-08,Snack,938,18771
2017-06-07T00:26:49.646Z,2017-06-07,Snack,295,35032
2017-06-07T00:28:54.894Z,2017-06-07,Dinner,345,37990
2017-06-07T00:29:17.252Z,2017-06-08,Snack,340,22801
2017-06-07T00:29:19.164Z,2017-06-07,Lunch,339,12440
2017-06-07T00:29:54.015Z,2017-06-06,Snack,955,46052
2017-06-07T00:29:55.920Z,2017-06-07,Dinner,714,23662
2017-06-07T00:30:44.690Z,2017-06-07,Snack,737,13703
2017-06-07T00:31:55.218Z,2017-06-06,Breakfast,852,41724
2017-06-07T00:32:11.332Z,2017-06-07,Dinner,335,7462
2017-06-07T00:32:16.257Z,2017-06-07,Breakfast,995,42270
2017-06-07T00:32:49.170Z,2017-06-07,Dinner,313,26169
2017-06-07T00:34:26.825Z,2017-06-07,Breakfast,197,7456
2017-06-07T00:35:06.091Z,2017-06-07,Breakfast,917,2219
2017-06-07T00:38:04.674Z,2017-06-07,Breakfast,584,862
2017-06-07T00:39:39.141Z,2017-06-07,Breakfast,631,36564
2017-06-07T00:39:43.180Z,2017-06-07,Breakfast,20,30033
2017-06-07T00:40:37.722Z,2017-06-07,Breakfast,501,21724
2017-06-07T00:40:57.869Z,2017-06-07,Snack,741,27243
2017-06-07T00:41:47.867Z,2017-06-08,Lunch,246,21769
2017-06-07T00:42:49.551Z,2017-06-07,Breakfast,751,8771
2017-06-07T00:42:55.339Z,2017-06-07,Breakfast,557,16466
2017-06-07T00:43:09.979Z,2017-06-07,Breakfast,248,10432
2017-06-07T00:43:16.501Z,2017-06-07,Snack,943,47449
2017-06-07T00:44:51.196Z,2017-06-07,Dinner,943,34009
2017-06-07T00:45:39.820Z,2017-06-07,Breakfast,572,13367
2017-06-07T00:45:46.437Z,2017-06-07,Lunch,121,219
2017-06-07T00:47:17.591Z,2017-06-06,Breakfast,343,45809
2017-06-07T00:47:26.581Z,2017-06-07,Snack,384,32774
2017-06-07T00:48:11.180Z,2017-06-07,Lunch,138,21048
2017-06-07T00:48:36.277Z,2017-06-07,Breakfast,628,28620
2017-06-07T00:49:42.110Z,2017-06-07,Snack,12,17248
2017-06-07T00:50:01.356Z,2017-06-07,Breakfast,257,2551
2017-06-07T00:50:41.636Z,2017-06-07,Snack,486,32664
2017-06-07T00:50:47.870Z,2017-06-06,Dinner,466,46479
2017-06-07T00:50:58.070Z,2017-06-07,Lunch,501,27731
2017-06-07T00:51:04.987Z,2017-06-07,Lunch,564,10875
2017-06-07T00:52:11.166Z,2017-06-07,Lunch,725,11163
2017-06-07T00:53:18.998Z,2017-06-07,Snack,358,33208
2017-06-07T00:53:59.810Z,2017-06-07,Snack,487,2066
2017-06-07T00:54:13.466Z,2017-06-07,Dinner,864,16861
2017-06-07T00:54:49.908Z,2017-06-07,Snack,382,25839
2017-06-07T00:55:10.047Z,2017-06-06,Lunch,792,1221
2017-06-07T00:55:43.980Z,2017-06-07,Snack,775,14069
2017-06-07T00:55:58.995Z,2017-06-07,Lunch,203,33180
2017-06-07T00:56:00.430Z,2017-06-07,Dinner,51,45070
2017-06-07T00:56:53.089Z,2017-06-07,Lunch,327,35441
2017-06-07T00:58:50.585Z,2017-06-07,Lunch,299,1844
2017-06-07T01:00:16.629Z,2017-06-08,Breakfast,25,30233
2017-06-07T01:01:39.198Z,2017-06-08,Breakfast,408,22772
